iter	Passed	Remaining
0	86	17265
1	167	16628
2	254	16697
3	323	15839
4	417	16281
5	492	15909
6	586	16172
7	680	16329
8	794	16861
9	886	16840
10	978	16816
11	1058	16580
12	1146	16494
13	1240	16479
14	1321	16297
15	1416	16292
16	1501	16166
17	1595	16134
18	1679	16001
19	1755	15799
20	1846	15741
21	1921	15543
22	2009	15461
23	2082	15273
24	2180	15262
25	2284	15288
26	2378	15238
27	2473	15192
28	2549	15031
29	2641	14968
30	2740	14939
31	2830	14858
32	2918	14771
33	3009	14692
34	3088	14559
35	3176	14470
36	3269	14403
37	3359	14323
38	3451	14249
39	3539	14158
40	3628	14071
41	3709	13954
42	3791	13843
43	3875	13739
44	3957	13630
45	4043	13536
46	4122	13418
47	4197	13292
48	4267	13151
49	4359	13078
50	4455	13015
51	4542	12928
52	4643	12880
53	4745	12830
54	4839	12759
55	4933	12687
56	5026	12609
57	5119	12533
58	5221	12479
59	5316	12405
60	5413	12334
61	5516	12279
62	5612	12204
63	5705	12125
64	5797	12040
65	5887	11952
66	5984	11879
67	6095	11832
68	6189	11751
69	6307	11713
70	6413	11652
71	6521	11593
72	6712	11677
73	6824	11620
74	6956	11594
75	7076	11545
76	7176	11463
77	7255	11349
78	7376	11298
79	7485	11228
80	7575	11129
81	7696	11075
82	7916	11160
83	8103	11190
84	8255	11169
85	8416	11156
86	8549	11104
87	8643	11000
88	8770	10938
89	8878	10851
90	8986	10763
91	9086	10666
92	9231	10621
93	9361	10556
94	9481	10479
95	9615	10416
96	9745	10348
97	9855	10257
98	9984	10185
99	10094	10094
100	10239	10036
101	10344	9938
102	10441	9833
103	10570	9757
104	10739	9717
105	10911	9675
106	11031	9587
107	11175	9519
108	11301	9434
109	11428	9350
110	11589	9292
111	11727	9214
112	11878	9145
113	12028	9074
114	12199	9016
115	12335	8932
116	12478	8852
117	12610	8763
118	12753	8681
119	12961	8641
120	13122	8567
121	13243	8466
122	13352	8358
123	13444	8240
124	13567	8140
125	13715	8055
126	13857	7965
127	13966	7855
128	14074	7746
129	14197	7644
130	14329	7547
131	14476	7457
132	14579	7344
133	14702	7241
134	14811	7131
135	14926	7024
136	15040	6916
137	15193	6826
138	15292	6711
139	15378	6590
140	15490	6481
141	15578	6362
142	15686	6252
143	15809	6148
144	15962	6054
145	16107	5957
146	16245	5857
147	16448	5779
148	16577	5674
149	16708	5569
150	16815	5456
151	16905	5338
152	16991	5219
153	17156	5124
154	17308	5025
155	17433	4917
156	17558	4809
157	17673	4697
158	17796	4589
159	17910	4477
160	18005	4361
161	18130	4252
162	18308	4155
163	18425	4044
164	18538	3932
165	18642	3818
166	18755	3706
167	18861	3592
168	18957	3477
169	19061	3363
170	19170	3251
171	19272	3137
172	19377	3024
173	19483	2911
174	19595	2799
175	19761	2694
176	19900	2586
177	20037	2476
178	20144	2363
179	20253	2250
180	20361	2137
181	20506	2028
182	20675	1920
183	20807	1809
184	20923	1696
185	21038	1583
186	21136	1469
187	21212	1353
188	21319	1240
189	21414	1127
190	21518	1013
191	21613	900
192	21722	787
193	21861	676
194	22011	564
195	22179	452
196	22329	340
197	22449	226
198	22575	113
199	22701	0
