iter	Passed	Remaining
0	228	45491
1	432	42854
2	577	37934
3	737	36142
4	858	33466
5	1037	33554
6	1259	34718
7	1439	34544
8	1622	34431
9	1762	33490
10	1916	32928
11	2077	32551
12	2225	32006
13	2363	31396
14	2450	30226
15	2619	30129
16	2764	29755
17	2875	29073
18	3009	28667
19	3169	28521
20	3409	29062
21	3591	29054
22	3727	28683
23	3846	28208
24	3953	27675
25	4089	27370
26	4235	27141
27	4375	26878
28	4502	26547
29	4640	26297
30	4758	25939
31	4904	25750
32	5045	25531
33	5253	25649
34	5471	25792
35	5645	25717
36	5793	25523
37	5922	25248
38	6046	24960
39	6213	24853
40	6375	24723
41	6504	24468
42	6644	24260
43	6830	24216
44	6996	24097
45	7206	24127
46	7387	24048
47	7535	23863
48	7675	23654
49	7824	23472
50	7975	23301
51	8109	23081
52	8236	22843
53	8359	22601
54	8470	22332
55	8604	22127
56	8740	21928
57	8889	21762
58	8996	21498
59	9118	21275
60	9306	21207
61	9537	21228
62	9681	21054
63	9916	21072
64	10142	21064
65	10269	20850
66	10487	20818
67	10648	20670
68	10896	20687
69	11084	20585
70	11312	20554
71	11445	20347
72	11673	20308
73	11787	20070
74	11931	19885
75	12127	19786
76	12312	19667
77	12465	19496
78	12700	19452
79	12853	19280
80	13024	19135
81	13253	19071
82	13356	18827
83	13477	18612
84	13584	18379
85	13733	18204
86	13893	18046
87	14027	17853
88	14174	17678
89	14321	17504
90	14551	17429
91	14714	17273
92	14816	17046
93	14937	16844
94	15065	16651
95	15174	16439
96	15341	16290
97	15514	16147
98	15686	16003
99	15796	15796
100	15944	15628
101	16149	15516
102	16337	15385
103	16477	15210
104	16628	15044
105	16754	14857
106	16883	14674
107	17111	14576
108	17296	14440
109	17499	14317
110	17691	14185
111	17843	14019
112	17998	13857
113	18179	13714
114	18289	13517
115	18481	13383
116	18615	13205
117	18716	13006
118	18877	12849
119	19066	12710
120	19272	12583
121	19512	12475
122	19630	12289
123	19753	12106
124	19902	11941
125	20059	11780
126	20188	11604
127	20317	11428
128	20509	11288
129	20701	11146
130	20814	10963
131	21001	10818
132	21182	10670
133	21330	10505
134	21505	10354
135	21621	10174
136	21771	10011
137	21889	9834
138	22071	9686
139	22244	9533
140	22398	9372
141	22564	9216
142	22727	9059
143	22899	8905
144	23093	8759
145	23301	8618
146	23504	8474
147	23661	8313
148	23799	8146
149	24008	8002
150	24178	7846
151	24368	7695
152	24589	7553
153	24727	7386
154	24941	7240
155	25160	7096
156	25372	6949
157	25591	6802
158	25755	6641
159	25919	6479
160	26112	6325
161	26316	6172
162	26518	6019
163	26665	5853
164	26786	5681
165	26946	5519
166	27113	5357
167	27316	5203
168	27536	5050
169	27749	4896
170	27873	4727
171	28091	4573
172	28224	4404
173	28390	4242
174	28592	4084
175	28722	3916
176	28931	3759
177	29073	3593
178	29217	3427
179	29393	3265
180	29532	3100
181	29663	2933
182	29823	2770
183	29952	2604
184	30143	2444
185	30261	2277
186	30367	2111
187	30488	1946
188	30680	1785
189	30861	1624
190	31073	1464
191	31233	1301
192	31410	1139
193	31588	976
194	31774	814
195	31907	651
196	32072	488
197	32234	325
198	32462	163
199	32626	0
