iter	Passed	Remaining
0	161	32112
1	305	30248
2	422	27728
3	524	25696
4	731	28517
5	941	30443
6	1180	32559
7	1388	33317
8	1649	35012
9	1896	36035
10	2075	35668
11	2251	35281
12	2472	35570
13	2605	34613
14	2840	35028
15	3004	34548
16	3119	33580
17	3251	32879
18	3369	32098
19	3524	31719
20	3666	31253
21	3822	30930
22	3995	30750
23	4172	30598
24	4328	30301
25	4538	30373
26	4712	30192
27	4935	30319
28	5112	30148
29	5283	29941
30	5484	29899
31	5664	29738
32	5830	29506
33	6047	29524
34	6210	29277
35	6362	28985
36	6549	28853
37	6776	28891
38	7008	28933
39	7134	28536
40	7285	28254
41	7466	28088
42	7635	27879
43	7836	27784
44	8021	27631
45	8138	27246
46	8239	26822
47	8380	26538
48	8492	26172
49	8686	26060
50	8879	25943
51	9063	25797
52	9292	25772
53	9483	25641
54	9672	25499
55	9868	25376
56	10020	25139
57	10211	24999
58	10382	24813
59	10559	24639
60	10738	24469
61	10968	24414
62	11176	24305
63	11317	24049
64	11479	23842
65	11624	23601
66	11835	23494
67	12016	23325
68	12179	23123
69	12439	23101
70	12605	22902
71	12815	22783
72	12989	22598
73	13135	22366
74	13342	22236
75	13531	22077
76	13658	21817
77	13804	21591
78	13986	21421
79	14177	21266
80	14341	21070
81	14505	20874
82	14691	20709
83	14888	20560
84	15054	20367
85	15233	20193
86	15368	19961
87	15504	19733
88	15679	19554
89	15858	19382
90	16058	19235
91	16316	19154
92	16520	19008
93	16695	18826
94	16853	18627
95	17019	18437
96	17162	18223
97	17349	18057
98	17551	17905
99	17687	17687
100	17920	17565
101	18152	17440
102	18278	17213
103	18463	17042
104	18623	16849
105	18793	16665
106	18978	16495
107	19131	16297
108	19389	16187
109	19624	16056
110	19782	15861
111	19973	15693
112	20151	15514
113	20311	15322
114	20454	15118
115	20589	14909
116	20783	14743
117	20940	14551
118	21079	14348
119	21261	14174
120	21438	13997
121	21618	13821
122	21778	13633
123	21939	13446
124	22119	13271
125	22321	13109
126	22451	12905
127	22582	12702
128	22712	12500
129	22933	12348
130	23171	12204
131	23335	12021
132	23499	11837
133	23670	11658
134	23844	11480
135	24027	11307
136	24174	11116
137	24363	10945
138	24491	10747
139	24649	10564
140	24845	10396
141	24989	10206
142	25144	10022
143	25326	9849
144	25453	9654
145	25675	9496
146	25938	9351
147	26235	9217
148	26462	9057
149	26684	8894
150	26891	8726
151	27141	8570
152	27293	8384
153	27553	8230
154	27717	8046
155	27958	7885
156	28177	7717
157	28408	7551
158	28618	7379
159	28866	7216
160	29060	7039
161	29195	6848
162	29418	6677
163	29633	6504
164	29814	6324
165	30096	6164
166	30324	5992
167	30464	5802
168	30761	5642
169	30942	5460
170	31116	5277
171	31274	5091
172	31450	4908
173	31705	4737
174	31851	4550
175	32016	4365
176	32169	4180
177	32339	3997
178	32512	3814
179	32726	3636
180	32993	3463
181	33176	3281
182	33377	3100
183	33587	2920
184	33775	2738
185	33942	2554
186	34090	2369
187	34218	2184
188	34410	2002
189	34600	1821
190	34815	1640
191	35030	1459
192	35233	1277
193	35457	1096
194	35598	912
195	35785	730
196	35997	548
197	36144	365
198	36318	182
199	36537	0
