CustomerID,Amount,Frequency,Recency,R,F,M,RFM_Segment,RFM_Score,Robust RFM Level
12346.0,76.80000000000001,2,325,1,1,1,111,3,Bronze
12347.0,3709.2200000000003,182,1,3,3,3,333,9,Gold
12348.0,1032.68,31,74,2,2,3,223,7,Silver
12349.0,1412.6000000000001,73,18,3,2,3,323,8,Gold
12350.0,332.8,17,309,1,1,1,111,3,Bronze
12352.0,1928.47,95,35,2,3,3,233,8,Gold
12353.0,87.60000000000001,4,203,1,1,1,111,3,Bronze
12354.0,1045.88,58,231,1,2,3,123,6,Silver
12355.0,340.0,13,213,1,1,2,112,4,Bronze
12356.0,1704.93,59,22,3,2,3,323,8,Gold
12357.0,3712.07,131,32,2,3,3,233,8,Gold
12358.0,526.6600000000001,19,1,3,1,2,312,6,Silver
12359.0,5122.28,251,7,3,3,3,333,9,Gold
12360.0,2222.56,129,51,2,3,3,233,8,Gold
12361.0,189.9,10,286,1,1,1,111,3,Bronze
12362.0,5130.38,274,2,3,3,3,333,9,Gold
12363.0,490.08000000000004,23,109,1,1,2,112,4,Bronze
12364.0,1280.1,85,7,3,3,3,333,9,Gold
12365.0,397.49,23,290,1,1,2,112,4,Bronze
12367.0,168.9,11,3,3,1,1,311,5,Bronze
12370.0,2990.7000000000003,166,50,2,3,3,233,8,Gold
12371.0,1467.66,63,44,2,2,3,223,7,Silver
12372.0,1142.94,52,71,2,2,3,223,7,Silver
12373.0,361.8,14,310,1,1,2,112,4,Bronze
12374.0,647.71,33,24,2,2,2,222,6,Silver
12375.0,425.98,18,2,3,1,2,312,6,Silver
12377.0,1480.6200000000001,77,314,1,3,3,133,7,Silver
12378.0,3914.7200000000003,219,129,1,3,3,133,7,Silver
12379.0,807.39,41,81,2,2,2,222,6,Silver
12380.0,2144.92,105,21,3,3,3,333,9,Gold
12381.0,1612.26,91,4,3,3,3,333,9,Gold
12383.0,1731.67,100,184,1,3,3,133,7,Silver
12384.0,521.1800000000001,30,28,2,2,2,222,6,Silver
12386.0,297.90000000000003,10,337,1,1,1,111,3,Bronze
12388.0,2427.94,100,15,3,3,3,333,9,Gold
12390.0,543.24,32,79,2,2,2,222,6,Silver
12391.0,439.66,93,21,3,3,2,332,8,Gold
12393.0,1423.9,64,71,2,2,3,223,7,Silver
12394.0,611.48,27,63,2,2,2,222,6,Silver
12395.0,2845.73,159,15,3,3,3,333,9,Gold
12397.0,2190.0,126,35,2,3,3,233,8,Gold
12398.0,1426.96,85,45,2,3,3,233,8,Gold
12399.0,1059.6,59,118,1,2,3,123,6,Silver
12401.0,84.3,5,302,1,1,1,111,3,Bronze
12402.0,225.6,11,322,1,1,1,111,3,Bronze
12403.0,179.10000000000002,6,49,2,1,1,211,4,Bronze
12405.0,1289.2900000000002,54,148,1,2,3,123,6,Silver
12406.0,2804.29,108,21,3,3,3,333,9,Gold
12407.0,1520.48,77,49,2,3,3,233,8,Gold
12408.0,2295.4700000000003,113,32,2,3,3,233,8,Gold
12409.0,4075.4900000000007,114,78,2,3,3,233,8,Gold
12410.0,582.78,28,300,1,2,2,122,5,Bronze
12412.0,1162.74,61,74,2,2,3,223,7,Silver
12413.0,781.5500000000001,40,66,2,2,2,222,6,Silver
12414.0,482.01000000000005,18,216,1,1,2,112,4,Bronze
12415.0,25248.980000000003,776,23,3,3,3,333,9,Gold
12417.0,3547.2000000000003,198,2,3,3,3,333,9,Gold
12418.0,582.23,34,112,1,2,2,122,5,Bronze
12420.0,597.79,29,63,2,2,2,222,6,Silver
12421.0,772.61,46,15,3,2,2,322,7,Silver
12422.0,721.96,39,95,1,2,2,122,5,Bronze
12423.0,1847.19,126,0,3,3,3,333,9,Gold
12424.0,809.9200000000001,30,162,1,2,2,122,5,Bronze
12425.0,690.0,36,77,2,2,2,222,6,Silver
12426.0,549.13,30,194,1,2,2,122,5,Bronze
12427.0,796.9100000000001,35,11,3,2,2,322,7,Silver
12428.0,6086.84,300,25,2,3,3,233,8,Gold
12429.0,2526.26,97,8,3,3,3,333,9,Gold
12430.0,244.20000000000002,11,42,2,1,1,211,4,Bronze
12431.0,4836.83,238,35,2,3,3,233,8,Gold
12432.0,2739.92,108,42,2,3,3,233,8,Gold
12433.0,10053.5,420,0,3,3,3,333,9,Gold
12434.0,831.29,54,84,2,2,2,222,6,Silver
12435.0,1382.4,36,79,2,2,3,223,7,Silver
12436.0,437.56000000000006,16,99,1,1,2,112,4,Bronze
12437.0,4414.2,200,1,3,3,3,333,9,Gold
12438.0,2032.65,98,13,3,3,3,333,9,Gold
12441.0,173.55,11,366,1,1,1,111,3,Bronze
12442.0,172.06,12,2,3,1,1,311,5,Bronze
12444.0,3906.3100000000004,176,20,3,3,3,333,9,Gold
12445.0,115.80000000000001,4,21,3,1,1,311,5,Bronze
12446.0,1002.3100000000001,57,57,2,2,3,223,7,Silver
12447.0,469.89,26,242,1,2,2,122,5,Bronze
12448.0,377.25,22,43,2,1,2,212,5,Bronze
12449.0,3612.29,191,21,3,3,3,333,9,Gold
12450.0,170.28,8,155,1,1,1,111,3,Bronze
12451.0,7836.700000000001,355,10,3,3,3,333,9,Gold
12452.0,383.47,23,16,3,1,2,312,6,Silver
12453.0,707.09,43,133,1,2,2,122,5,Bronze
12454.0,1152.0000000000002,30,52,2,2,3,223,7,Silver
12455.0,2004.5000000000002,90,72,2,3,3,233,8,Gold
12456.0,2453.71,129,43,2,3,3,233,8,Gold
12457.0,1644.8300000000002,67,57,2,2,3,223,7,Silver
12458.0,823.7,38,70,2,2,2,222,6,Silver
12461.0,628.08,35,93,1,2,2,122,5,Bronze
12462.0,1079.97,72,1,3,2,3,323,8,Gold
12463.0,1385.93,88,45,2,3,3,233,8,Gold
12464.0,855.1,29,9,3,2,2,322,7,Silver
12465.0,748.09,51,7,3,2,2,322,7,Silver
12468.0,702.64,40,142,1,2,2,122,5,Bronze
12471.0,12265.380000000001,530,1,3,3,3,333,9,Gold
12472.0,6274.66,391,30,2,3,3,233,8,Gold
12473.0,3016.94,178,28,2,3,3,233,8,Gold
12474.0,7362.4,455,16,3,3,3,333,9,Gold
12475.0,696.6800000000001,36,53,2,2,2,222,6,Silver
12476.0,5650.52,264,0,3,3,3,333,9,Gold
12477.0,8082.630000000001,308,22,3,3,3,333,9,Gold
12478.0,584.39,36,3,3,2,2,322,7,Silver
12479.0,561.5,35,3,3,2,2,322,7,Silver
12480.0,2742.23,154,27,2,3,3,233,8,Gold
12481.0,4716.28,217,22,3,3,3,333,9,Gold
12483.0,1987.89,81,16,3,3,3,333,9,Gold
12484.0,4109.97,347,32,2,3,3,233,8,Gold
12488.0,1148.24,55,9,3,2,3,323,8,Gold
12489.0,334.93,15,335,1,1,2,112,4,Bronze
12490.0,4909.2300000000005,245,4,3,3,3,333,9,Gold
12491.0,452.0,26,38,2,2,2,222,6,Silver
12492.0,263.21000000000004,20,62,2,1,1,211,4,Bronze
12493.0,450.69,23,165,1,1,2,112,4,Bronze
12494.0,1350.05,84,9,3,3,3,333,9,Gold
12497.0,505.80000000000007,14,81,2,1,2,212,5,Bronze
12498.0,403.70000000000005,23,20,3,1,2,312,6,Silver
12500.0,1612.7900000000002,65,22,3,2,3,323,8,Gold
12501.0,2143.5,160,314,1,3,3,133,7,Silver
12502.0,2817.87,147,95,1,3,3,133,7,Silver
12503.0,38.400000000000006,1,337,1,1,1,111,3,Bronze
12504.0,394.1,15,17,3,1,2,312,6,Silver
12505.0,4.5,1,300,1,1,1,111,3,Bronze
12506.0,73.5,23,232,1,1,1,111,3,Bronze
